OBJECTID,ROAD_NAME_FULL
354,MARIE CURIE PRIV
355,VIVERA PL
356,CLEGG ST
357,HWY417 IC109 RAMP63
358,CLEGG ST
359,TEMPEST DR
360,WARMSTONE DR
361,HWY417 IC109 RAMP26
362,WARMSTONE DR
363,HUNT CLUB RD
364,HUNT CLUB RD
365,"PAGE, CHEMIN"
366,WILHAVEN DR
367,STEACIE DR
368,WHITEMARSH CRES
369,BREWER HUNT WAY
370,EASTBORO AVE
371,KANATA ROCKERIES PRIV
372,GRAND HARBOUR CRT
373,ACCEPTANCE PL
374,ANAND PRIV
375,ESCARPMENT CRES
376,MARCASITE RD
377,GREENSAND PL
378,TRANSITWAY
379,TRANSITWAY
380,TRANSITWAY
381,TRANSITWAY
382,TRANSITWAY
383,TRANSITWAY
384,TRANSITWAY
385,TURN LANE
386,KIMBERWICK CRES
387,ERIE AVE
388,PORTLAND AVE
389,CAMBRIDGE ST N
390,PRIMROSE AVE
391,BENTLEY AVE
392,SHERWOOD DR
393,CLIFTON RD
394,CHAMPAGNE AVE S
395,NORFOLK AVE
396,FAIRMONT AVE
397,HARROLD PL
398,SEYMOUR AVE
399,NESTOW DR
400,SPENCER ST
401,HWY416 IC75B RAMP25
402,LOUISA ST
403,HEATHER WAY
404,EIFFEL AVE
405,HILLIARD AVE
406,SAVUTO WAY
407,RITA AVE
408,PAISLEY AVE
409,VILLEROY CRES
410,DEN HAAG DR
411,HWY416 IC72 RAMP34
412,LENESTER AVE
413,HWY417 IC112 RAMP55
414,HWY417 IC134 RAMP25
415,SPENCER ST
416,PALOMINO DR
417,ABBOTSFORD RD
418,PRINCESS LOUISE DR
419,REGIONAL ROAD 174
420,"MER-BLEUE, CHEMIN DE LA"
421,GOULBURN CRES
422,FORESTGLADE CRES
423,KENO WAY
424,GABERT RD
425,DUNROBIN RD
426,HUNT CLUB RD
427,BLAIR RD
428,CARLING AVE
429,LONGDEN PL
430,AIRPORT PKY
431,AIRPORT PKY
432,DE NIVERVILLE PRIV
433,BANK ST
434,"ST-LAURENT, BOULEVARD"
435,"MONTREAL, CHEMIN DE"
436,ST. PATRICK ST
437,MCARTHUR AVE
438,MCARTHUR AVE
439,HWY417 IC110 RAMP66
440,HIGHWAY 417
441,HWY417 IC126 RAMP25
442,OVERLAKE DR
